question,answer,image_id
is there contrast material showing air-fluid levels in the small bowel,yes,synpic39086.jpg
Is/Are there air fluid levels in the patient's small bowel?,yes,synpic39086.jpg
Is/Are the mass located near/in the mid brain?,Yes,synpic55245.jpg
Is/Are the mass located near/in the mid brain?,Yes,synpic55245.jpg
Is the mass compressing the mid brain on this section?,Yes,synpic55245.jpg
Is there mass compression in the patient's midbrain?,Yes,synpic55245.jpg
Is the mass pushing on the midbrain structures?,Yes,synpic55245.jpg
Is there mass compression in the patient's midbrain?,Yes,synpic55245.jpg
Are brain structures shifted across the midline?,no,synpic50962.jpg
Is/Are there midline shift?,no,synpic50962.jpg
is there a midline shift of the cerebral parenchyma?,no,synpic50962.jpg
Is/Are there midline shift?,no,synpic50962.jpg
Is the gallbladder large in size?,No,synpic22967.jpg
Is/Are the gallbladder large?,No,synpic22967.jpg
Is the gallbladder distended?,No,synpic22967.jpg
Is/Are the gallbladder distended?,No,synpic22967.jpg
Are there >8 ribs shown in this image?,Yes,synpic25821.jpg
Are there >8 of the ribs?,Yes,synpic25821.jpg
Are there at least 8 ribs visible for good inspiratory effort?,Yes,synpic25821.jpg
Are there at least 8 of the ribs?,Yes,synpic25821.jpg
is this an image of the cerebellum,yes,synpic34947.jpg
Is this a transverse section?,yes,synpic50962.jpg
Is the patient's vertebral body indicative of normal aging?,Yes,synpic34515.jpg
any observed degenerative changes in the vertebral body?,no,synpic34515.jpg
Is/Are there degeneration in the patient's vertebral body?,no,synpic34515.jpg
Is/Are there obstruction in the patient's small bowel?,Yes,synpic25534.jpg
Is there evidence of herniation of the small bowel into the abdominal wall?,No,synpic30324.jpg
Is/Are there herniation in the patient's small bowel through the abdominal wall?,No,synpic30324.jpg
Is there evidence of an abdominal hernia?,No,synpic30324.jpg
Is/Are there herniation in the patient's small bowel through the abdominal wall?,No,synpic30324.jpg
Are there air-fluid levels present on this CT radiograph?,Yes,synpic39088.jpg
Is/Are there air fluid levels in the patient's bowel?,Yes,synpic39088.jpg
Is there evidence of air fluid levels in the patient's bowel?,Yes,synpic39088.jpg
Is/Are there air fluid levels in the patient's bowel?,Yes,synpic39088.jpg
Have brain structures crossed the midline of the brain?,Yes,synpic55245.jpg
Is/Are there midline shift?,Yes,synpic55245.jpg
Is there evidence of midlight shift of structures on this MRI?,Yes,synpic55245.jpg
Is/Are there midline shift?,Yes,synpic55245.jpg
was this taken in PA position?,yes,synpic21776.jpg
Is there evidence of air in the peritoneum?,Yes,synpic34713.jpg
Is/Are there air in the patient's peritoneum?,Yes,synpic34713.jpg
Is there air in the peritoneal cavity?,Yes,synpic34713.jpg
Is/Are there air in the patient's peritoneal cavity?,Yes,synpic34713.jpg
Are the hilar soft tissue densities symmetric?,no,synpic42245.jpg
Is/Are there symmetry in the patient's hilums?,no,synpic42245.jpg
Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,no,synpic42245.jpg
Is/Are there equivalent size tissues densities in the patient's hilums?,no,synpic42245.jpg
Is the descending aortic silhouette of normal contour?,Yes,synpic16174.jpg
Is the descending aortic silhouette of normal contour and size?,Yes,synpic16174.jpg
Is there tortuosity of the descending aorta?,Yes,synpic16174.jpg
Is/Are there tortuosity in the patient's aorta?,Yes,synpic16174.jpg
Is the descending aortic silhouette of normal size?,Yes,synpic16174.jpg
Is/Are there tortuosity in the patient's aorta?,Yes,synpic16174.jpg
Is the descending aortic silhouette of normal size?,Yes,synpic16174.jpg
are the vertebral arteries patent in this section?,Yes,synpic34947.jpg
Are the vertebral arteries patent?,Yes,synpic34947.jpg
Are the vertebral arteries in view?,Yes,synpic34947.jpg
Is/Are there vertebral arteries?,Yes,synpic34947.jpg
Is/Are there hyper attenuating material in the patient's aorta?,yes,synpic39086.jpg
Is/Are there calcifications in the patient's aorta?,yes,synpic39086.jpg
Is the vertebro-basilar arterial network viewed in this section?,Yes,synpic26925.jpg
Is/Are there vertebral/basilar artery?,Yes,synpic26925.jpg
Is the vertebral artery/basilar artery located in this image?,Yes,synpic26925.jpg
Is/Are there vertebral/basilar artery?,Yes,synpic26925.jpg
Is there blurring of the grey-white matter junctions in the right temporal lobe?,Yes,synpic39757.jpg
Is/Are there blurring of the grey-white matter in the patient's right temporal lobe?,Yes,synpic39757.jpg
Is there no definitive border between the grey matter and white matter in the right temporal lobe?,Yes,synpic39757.jpg
Is/Are there blurring of the grey-white matter in the patient's right temporal lobe?,Yes,synpic39757.jpg
is there evidence of portal venous congestion?,no,synpic26158.jpg
Is/Are there portal venous congestion?,no,synpic26158.jpg
Is the portal vein engorged?,no,synpic26158.jpg
Is/Are there portal venous congestion?,no,synpic26158.jpg
is the plane of section transverse?,yes,synpic34947.jpg
Is the liver parenchyma normal?,Yes,synpic19605.jpg
Is/Are the liver parenchyma normal?,Yes,synpic19605.jpg
Is the liver parenchyma homogenous?,Yes,synpic19605.jpg
Is/Are the liver parenchyma homogenous??,Yes,synpic19605.jpg
Is there no evidence of any hypo- or hyperattenuations located in the liver?,Yes,synpic19605.jpg
Is/Are the liver parenchyma homogenous??,Yes,synpic19605.jpg
Is the liver parenchyma homogenous and normal?,Yes,synpic19605.jpg
was this chest x ray taken in PA format?,yes,synpic40272.jpg
Is the stomach thickening regular and uniform or ragged/asymmetrical?,Asymmetric,synpic22967.jpg
How would you describe the stomach wall thickening?,Asymmetric,synpic22967.jpg
Is the stomach wall thickening symmetric or asymmetric?,Asymmetric,synpic22967.jpg
How would you describe the stomach wall thickening?,Asymmetric,synpic22967.jpg
Is there evidence of ectopic tissue present in surrounding organs?,no,synpic26158.jpg
Is there metastatic tissue in the surrounding organs?,no,synpic26158.jpg
Is there evidence of metastatic tissue on organs surrounding the liver?,no,synpic26158.jpg
Is there metastatic tissue in the liver?,no,synpic26158.jpg
Are lung opacities noted?,No,synpic21776.jpg
Is/Are there nodules in the patient's lung?,No,synpic21776.jpg
is there evidence of intraparenchymal lung nodules?,No,synpic21776.jpg
Is/Are there nodules in the patient's lung?,No,synpic21776.jpg
Is/Are there air in the patient's peritoneal cavity?,No,synpic30324.jpg
Is/Are there air in the patient's peritoneal cavity?,No,synpic30324.jpg
Is/Are the heart size normal?,Yes,synpic16174.jpg
Is/Are the heart size normal?,Yes,synpic16174.jpg
Are there calcifications in the cerebral arteries?,Yes,synpic39757.jpg
Is/Are there calcifications in the patient's cerebral arteries?,Yes,synpic39757.jpg
Is there evidence of calcifications in the cerebral arteries?,Yes,synpic39757.jpg
Is/Are there calcifications in the patient's cerebral arteries?,Yes,synpic39757.jpg
Is there evidence of a right apical pneumothorax on this chest x-ray?,Yes,synpic52767.jpg
Is/Are there a pneumothorax in the patient's right lung?,Yes,synpic52767.jpg
Is a pneumothorax present near the right lung field?,Yes,synpic52767.jpg
Is/Are there a pneumothorax in the patient's right lung?,Yes,synpic52767.jpg
Are the branches of the superior mesenteric arteries filled with contrast?,Yes,synpic22286.jpg
Is/Are the superior mesenteric arteries hyperatenuated?,Yes,synpic22286.jpg
Are the branches of the superior mesenteric arteries hyper attenuated?,Yes,synpic22286.jpg
Is/Are the superior mesenteric arteries hyperatenuated?,Yes,synpic22286.jpg
Is/Are the heart narrowed?,Yes,synpic21776.jpg
Is/Are the heart narrowed?,Yes,synpic21776.jpg
Are there any fractures in any of the ribs?,No,synpic42245.jpg
Is/Are there fractures in the patient's ribs?,No,synpic42245.jpg
Are any of the patient's ribs fractured?,No,synpic42245.jpg
Is/Are there fractures in the patient's ribs?,No,synpic42245.jpg
Is there pulmonary edema,no,synpic40272.jpg
Is/Are the pulmonary vessels enlarged?,no,synpic40272.jpg
Is there evidence of fluid in the peritoneal cavity?,No,synpic30324.jpg
Is/Are there ascites?,No,synpic30324.jpg
Is there evidence of ascites?,No,synpic30324.jpg
Is/Are there ascites?,No,synpic30324.jpg
Has the small bowel perforated?,No,synpic25534.jpg
Is/Are there perforation in the patient's small bowel?,No,synpic25534.jpg
is there evidence of pneumoperitoneum?,Yes,synpic25534.jpg
Is this the small bowel on this image?,yes,synpic39086.jpg
Is/Are the cardiac contour normal?,Yes,synpic52767.jpg
Are feces located in the colon?,yes,synpic34515.jpg
Is/Are there stool in the patient's colon?,yes,synpic34515.jpg
Is there stool in the colon?,yes,synpic34515.jpg
Is/Are there stool in the patient's colon?,yes,synpic34515.jpg
Do the left and right middle cerebral arteries appear patent on this section?,Yes,synpic55245.jpg
Is/Are there middle cerebral arteries?,Yes,synpic55245.jpg
Is the left and right MCA present?,Yes,synpic55245.jpg
Is/Are there middle cerebral arteries?,Yes,synpic55245.jpg
Is this a T2 weighted image?,Yes,synpic50962.jpg
Is the lesion causing significant brainstem herniation?,No,synpic26925.jpg
Is/Are there herniation in the patient's brainstem?,No,synpic26925.jpg
Is there herniation of the brainstem secondary to the lesion,No,synpic26925.jpg
Is/Are there herniation in the patient's brainstem?,No,synpic26925.jpg
is it difficult to delineate the left costophrenic angle?,yes,synpic40272.jpg
Is/Are there blunting in the patient's left costophrenic angle?,yes,synpic40272.jpg
Is there blunting of the left costophrenic angle?,yes,synpic40272.jpg
Is/Are there blunting in the patient's left costophrenic angle?,yes,synpic40272.jpg
Are structures associated with the midbrain located in this image?,yes,synpic50962.jpg
Is/Are there midbrain structures?,yes,synpic50962.jpg
Is the midbrain identified in this section?,yes,synpic50962.jpg
Is/Are there midbrain structures?,yes,synpic50962.jpg
Is/Are there pneumothorax in the patient's left lung field?,Yes,synpic33422.jpg
Is/Are there pneumothorax in the patient's left lung field?,Yes,synpic33422.jpg
Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,Yes,synpic22967.jpg
Are there >5 of lymph nodes near the stomach?,Yes,synpic22967.jpg
Are there >5 lymph nodes located near the stomach?,Yes,synpic22967.jpg
Are there >5 of lymph nodes near the stomach?,Yes,synpic22967.jpg
Does the gallbladder appear distended?,Yes,synpic22286.jpg
Is/Are the gallbladder enlarged?,Yes,synpic22286.jpg
Is the gallbladder enlarged?,Yes,synpic22286.jpg
Is/Are the gallbladder enlarged?,Yes,synpic22286.jpg
Is this image plane taken inferior to the liver?,yes,synpic39086.jpg
is there any shift of midline structures visible in this section?,no,synpic34947.jpg
Is/Are there midline shift?,no,synpic34947.jpg
Is there shifting of structures across the middle?,no,synpic34947.jpg
Is/Are there midline shift?,no,synpic34947.jpg
Is/Are the right renal pelvis enlarged?,yes,synpic25534.jpg
Is/Are the right renal pelvis enlarged?,yes,synpic25534.jpg
Is there evidence of a small bowel obstruction with perforated viscus on this CT?,yes,synpic39086.jpg
Is there pneumonperitoneum in the small bowel?,yes,synpic39086.jpg
Is there evidence of a pneumoperitoneum secondary to a perforation?,yes,synpic39086.jpg
Is there pneumonperitoneum in the small bowel?,yes,synpic39086.jpg
Is there edema in the patient's right temporal lobe?,Yes,synpic39757.jpg
Is/Are there cytotoxic edema in the patient's right temporal lobe?,Yes,synpic39757.jpg
Is there evidence of cytotoxic edema in the right temporal lobe?,Yes,synpic39757.jpg
Is/Are there cytotoxic edema in the patient's right temporal lobe?,Yes,synpic39757.jpg
Does the mass have a smooth appearing border?,Yes,synpic26925.jpg
Is/Are the mass well-defined? -yes/no,Yes,synpic26925.jpg
Is the mass well-defined?,Yes,synpic26925.jpg
Is/Are the mass well-defined? -yes/no,Yes,synpic26925.jpg
Is there contrast in the colonic lumen?,Yes,synpic34713.jpg
Is/Are there contrast in the patient's colon?,Yes,synpic34713.jpg
Was the patient given oral contrast?,Yes,synpic34713.jpg
Is/Are there contrast in the patient's colon?,Yes,synpic34713.jpg
Is the celiac trunk visualized and patent?,Yes,synpic19605.jpg
Is the celiac trunk visualized?,Yes,synpic19605.jpg
Is/Are there visualization in the patient's celiac trunk?,Yes,synpic19605.jpg
Is the celiac trunk patent?,Yes,synpic19605.jpg
Is/Are there patency in the patient's celiac trunk?,Yes,synpic19605.jpg
Is the celiac trunk able to be visualized in this patient and is it open?,Yes,synpic19605.jpg
Is the celiac trunk able to be visualized in this patient?,Yes,synpic19605.jpg
Is/Are there visualization in the patient's celiac trunk?,Yes,synpic19605.jpg
Is the celiac trunk open?,Yes,synpic19605.jpg
Is/Are there patency in the patient's celiac trunk?,Yes,synpic19605.jpg
Is/Are there midline shift?,No,synpic33422.jpg
Is/Are there midline shift?,No,synpic33422.jpg
was this image taken without motion artifact,yes,synpic34947.jpg
was this image taken with patient in symmetrical supine position?,yes,synpic39086.jpg
Is/Are the left lung radioopaque?,yes,synpic40272.jpg
Is/Are the left lung radioopaque?,yes,synpic40272.jpg
Is this an image of the right and left temporal lobes?,Yes,synpic50962.jpg
Are the liver 	splee n	stomac h	and esophagus all visualized in this image?,yes,synpic26158.jpg
Does the GI contrast hi-light the small bowel?,Yes,synpic39088.jpg
Is there oral contrast in the patient's small bowel?,Yes,synpic39088.jpg
Is/Are there contrast in the patient's small bowel?,Yes,synpic39088.jpg
Is there enlargement of the abdominal aorta on this image?,No,synpic39088.jpg
Is/Are the abdominal aorta large?,No,synpic39088.jpg
Is the abdominal aorta large in size?,No,synpic39088.jpg
Is/Are the abdominal aorta large?,No,synpic39088.jpg
Are the costophrenic angles sharp?,yes,synpic42245.jpg
Is/Are there no blunting in the patient's costophrenic angles?,yes,synpic42245.jpg
Is there no evidence of blunting of the costophrenic angles?,yes,synpic42245.jpg
Is/Are there no blunting in the patient's costophrenic angles?,yes,synpic42245.jpg
is the lung parenchyma well visualized?,yes,synpic21776.jpg
Has the brainstem herniated?,no,synpic34947.jpg
Is/Are there herniation in the patient's brainstem?,no,synpic34947.jpg
is there evidence of brainstem herniation in this section,no,synpic34947.jpg
Is/Are there herniation in the patient's brainstem?,no,synpic34947.jpg
are the heart and lungs displayed well in this film,yes,synpic40272.jpg
Is this image normal?,No,synpic33889.jpg
Is this image normal?,No,synpic33889.jpg
What is/are the abnormalities  near/in the lung?,Pulmonary nodules,synpic18319.jpg
What is/are the abnormalities  near/in the lung?,Pulmonary nodules,synpic18319.jpg
What is/are the hypointensity near/in the R hemidiaphragm?,Free air,synpic32933.jpg
What is/are the hypointensity near/in the R hemidiaphragm?,Free air,synpic32933.jpg
Any abnormal findings in the lower lung fields?,no,synpic31400.jpg
Is/Are there abnormalities in the patient's lower lung?,no,synpic31400.jpg
Are the lower lung fields normal?,yes,synpic31400.jpg
Is/Are there abnormalities in the patient's lower lung?,yes,synpic31400.jpg
Is the mass loculated?,Yes,synpic21734.jpg
Is/Are the mass located? -yes/no,Yes,synpic21734.jpg
Is there a loculated pancreatic mass?,Yes,synpic21734.jpg
Is/Are the mass located? -yes/no,Yes,synpic21734.jpg
How would you describe the abnormality?,hypodense lesion,synpic40464.jpg
How would you describe the abnormality?,hypodense lesion,synpic40464.jpg
What organ system is evaluated primarily?,GI,synpic20260.jpg
Are there gallstones?,yes,synpic45162.jpg
Is/Are there gallstones?,yes,synpic45162.jpg
Are gallstones present?,yes,synpic45162.jpg
Is/Are there gallstones?,yes,synpic45162.jpg
Is the left hemidiaphragm normal?,Yes,synpic32933.jpg
Is this image normal?,Yes,synpic32933.jpg
Is the left hemidiaphragm normal?,Yes,synpic32933.jpg
Is this image normal?,Yes,synpic32933.jpg
Is this a chest x-ray?,yes,synpic49914.jpg
How would you describe the lesion?,Ring-enhancing lesion,synpic56799.jpg
What are key characteristics of the lesion?,Ring-enhancing lesion,synpic56799.jpg
Are there abnormal findings on this image?,Yes,synpic57368.jpg
Is/Are the brain normal?,Yes,synpic57368.jpg
Is this brain scan normal?,No,synpic57368.jpg
Is/Are the brain normal?,No,synpic57368.jpg
Is the brain tissue ischemic?,Yes,synpic46720.jpg
Is there atrophy of the brain?,Yes,synpic46720.jpg
How would you describe the abnormality?,Diffuse,synpic55948.jpg
How would you describe the abnormality?,Diffuse,synpic55948.jpg
Is the abnormality focal or diffuse?,Diffuse,synpic55948.jpg
What kind of scan is this?,CT,synpic20260.jpg
Is there evidence of calcification in the mass?,Yes,synpic21734.jpg
Is/Are the pancreatic mass calcified? -yes/no,Yes,synpic21734.jpg
Is the mass calcified?,Yes,synpic21734.jpg
Is/Are the pancreatic mass calcified? -yes/no,Yes,synpic21734.jpg
What kind of image is this?,Chest x-ray,synpic18461.jpg
Is this a normal image?,No,synpic56799.jpg
Is this image normal?,No,synpic56799.jpg
Is the brain scan normal?,No,synpic56799.jpg
Is this image normal?,No,synpic56799.jpg
What organ is enlarged?,Pancreas,synpic40314.jpg
Where is/are the abnormality located?,Pancreas,synpic40314.jpg
Which organ has the abnormality?,Pancreas,synpic40314.jpg
Where is/are the abnormality located?,Pancreas,synpic40314.jpg
where is the cavitary lesion?,Right upper lobe,synpic31400.jpg
Where is/are the cavitary lesion located?,Right upper lobe,synpic31400.jpg
where is the abnormality?,Right upper lobe,synpic31400.jpg
Where is/are the cavitary lesion located?,Right upper lobe,synpic31400.jpg
Is the abnormality hyper dense or hypo dense?,Hypodense,synpic23130.jpg
What density is the abnormality?,Hypodense,synpic23130.jpg
What is/are the density of abnormality?,Hypodense,synpic23130.jpg
What part of the liver is the mass located in?,Left hepatic lobe,synpic33889.jpg
Where is/are the mass located?,Left hepatic lobe,synpic33889.jpg
Where is the mass in the liver?,Left hepatic lobe,synpic33889.jpg
Where is/are the mass located?,Left hepatic lobe,synpic33889.jpg
What organ is primarily evaluated in this image?,Lungs,synpic18461.jpg
What hemisphere are the lesions located in?,Bilateral,synpic57368.jpg
Where are the abnormalities?,Bilateral,synpic57368.jpg
What does nodular liver suggest?,Cirrhosis,synpic20260.jpg
What does the shape of the liver suggest?,Cirrhosis,synpic20260.jpg
What is the brightness in the abdominal aorta?,Atherosclerotic calcification,synpic20260.jpg
What is/are the hyperintensity near/in the aorta?,Atherosclerotic calcification,synpic20260.jpg
What causes hyper intensity in aorta?,Atherosclerotic calcification,synpic20260.jpg
What is/are the hyperintensity near/in the aorta?,Atherosclerotic calcification,synpic20260.jpg
Is this a lateral film?,no,synpic18461.jpg
Where in the brain is the lesion?,right parietal lobe,synpic51709.jpg
Where is/are the mass located?,right parietal lobe,synpic51709.jpg
Where is the lesion?,right parietal lobe,synpic51709.jpg
Where is/are the mass located?,right parietal lobe,synpic51709.jpg
Which organ system is imaged?,Chest,synpic31400.jpg
Is there an abnormal lesion?,Yes,synpic59356.jpg
Is/Are there a mass?,Yes,synpic59356.jpg
Is there a mass?,Yes,synpic59356.jpg
Is/Are there a mass?,Yes,synpic59356.jpg
What does the hypodensity suggest?,metastasis,synpic40464.jpg
What caused the lesion?,metastasis,synpic40464.jpg
In what plane is this image taken?,axial,synpic33889.jpg
Is this a study of the chest?,yes,synpic49914.jpg
What is abnormal about the hila?,Enlarged,synpic21044.jpg
How would you describe the hila?,Enlarged,synpic21044.jpg
Is the hila normal or enlarged?,Enlarged,synpic21044.jpg
What is happening in the right lung?,Volume loss,synpic49914.jpg
What is/are abnormal right lung ?,Volume loss,synpic49914.jpg
What is finding in the right lung?,Volume loss,synpic49914.jpg
What is/are abnormal right lung ?,Volume loss,synpic49914.jpg
How many spleen lesions are present/visualized in the image?,one,synpic40464.jpg
What is most alarming about the appendix?,extraluminal air and small fluid collection,synpic45115.jpg
Is the liver normal?,No,synpic23130.jpg
Is/Are the liver normal?,No,synpic23130.jpg
Is this a normal image?,No,synpic23130.jpg
Is this image normal?,No,synpic23130.jpg
Are the lungs normal?,No,synpic18461.jpg
Is/Are the lung normal?,No,synpic18461.jpg
Is the chest x-ray normal?,No,synpic18461.jpg
Is this image normal?,No,synpic18461.jpg
What is/are the abnormalities near/in the lung apices?,Nodular opacities,synpic31400.jpg
What is/are the abnormalities near/in the lung apices?,Nodular opacities,synpic31400.jpg
Where is the mass?,extra-axial and at the right choroidal fissure,synpic27013.jpg
What can cause asymmetrical breasts?,Prior surgery,synpic18319.jpg
Why are the breasts asymmetrical?,Prior surgery,synpic18319.jpg
Is the mass enhancing?,No,synpic27013.jpg
Is/Are the lung normal?,No,synpic49914.jpg
Is this image normal?,No,synpic49914.jpg
How would you describe the abnormalities?,Ring-enhancing lesions,synpic57368.jpg
Is/Are the lesions ring enhancing ?,Yes,synpic57368.jpg
Where is/are the lesion located?,right temporal lobe,synpic56799.jpg
Where is/are the abnormality located?,right temporal lobe,synpic56799.jpg
What organ is the mass in?,Pancreas,synpic21734.jpg
Where is/are the mass located?,Pancreas,synpic21734.jpg
Where is the mass?,Pancreas,synpic21734.jpg
Where is/are the mass located?,Pancreas,synpic21734.jpg
What abnormalities are in the right upper quadrant?,Gallstones,synpic45162.jpg
What is/are the abnormalities near/in the right upper quadrant?,Gallstones,synpic45162.jpg
What is in the right upper quadrant?,Gallstones,synpic45162.jpg
What is/are the abnormalities near/in the right upper quadrant?,Gallstones,synpic45162.jpg
Which kidney is abnormal?,Right,synpic29219.jpg
Where is/are the abnormality located?,Right,synpic29219.jpg
Which kidney has abnormalities?,Right,synpic29219.jpg
Where is/are the abnormality located?,Right,synpic29219.jpg
Is there a pelvic fracture?,No,synpic54823.jpg
Is this a study of the brain?,no,synpic33889.jpg
What is the image suggestive of?,abscess,synpic51709.jpg
What is the lesion most likely to be?,abscess,synpic51709.jpg
Describe the lesions in the right kidney?,Cystic lesions,synpic29219.jpg
How would you describe the lesion?,Cystic lesions,synpic29219.jpg
What is seen in the right kidney?,Cystic lesions,synpic29219.jpg
Did the patient have a cholecystectomy?,Yes,synpic45162.jpg
Is/Are there cholescystectomy,Yes,synpic45162.jpg
Has the gallbladder been removed?,Yes,synpic45162.jpg
Is/Are there gallbladder removed?,Yes,synpic45162.jpg
How would you describe the aortopulmonary window?,middle mogul,synpic21044.jpg
What is/are the characteristic finding near/in the aortopulmonary window?,middle mogul,synpic21044.jpg
What is/are the sign near/in the aortopulmonary window?,middle mogul,synpic21044.jpg
Is there evidence of enhancement?,Yes,synpic51709.jpg
Is/Are the lesion enhanced? -yes/no,Yes,synpic51709.jpg
Is the lesion enhancing?,Yes,synpic51709.jpg
Is/Are the lesion enhanced? -yes/no,Yes,synpic51709.jpg
Is there contrast given?,yes,synpic29219.jpg
Is this a CT scan?,yes,synpic33889.jpg
Where is/are the abnormality located?,Right lung,synpic49914.jpg
Where is/are the abnormality located?,Right lung,synpic49914.jpg
Describe the appendix,"enlarged, fluid-filled",synpic45115.jpg
Are there 2 kidneys?,Yes,synpic29219.jpg
Are there two kidneys? ,Yes,synpic29219.jpg
Are there normal number of kidneys?,Yes,synpic29219.jpg
Are there two kidneys? ,Yes,synpic29219.jpg
Where is the mass?,Pancreatic body,synpic28695.jpg
Where is the abnormality?,Right lobe of the liver,synpic23130.jpg
Where is/are the linear hypodensity located?,Right lobe of the liver,synpic23130.jpg
Where is the hypodensity located?,Right lobe of the liver,synpic23130.jpg
Where is/are the linear hypodensity located?,Right lobe of the liver,synpic23130.jpg
Is this image normal?,Yes,synpic29219.jpg
Is this image normal?,Yes,synpic29219.jpg
Which hemisphere is the ischemia located?,Right hemisphere,synpic46720.jpg
Where is/are the abnormality located?,Right hemisphere,synpic46720.jpg
Where is the abnormality?,Right PCA,synpic46720.jpg
Where is/are the abnormality located?,Right PCA,synpic46720.jpg
Is this image normal?,No,synpic32933.jpg
 Is/Are the right hemidiaphragm normal?,No,synpic32933.jpg
Is the mass homogeneous?,No,synpic28695.jpg
Where is the abnormality in this image?,Basal ganglia,synpic55948.jpg
Where is the catheter tip located?,Right superior cavoatrial junction,synpic18319.jpg
Where is/are the catheter tip located?,Right superior cavoatrial junction,synpic18319.jpg
Where does the catheter tip extend into?,Right superior cavoatrial junction,synpic18319.jpg
Where is/are the catheter tip located?,Right superior cavoatrial junction,synpic18319.jpg
Does the mass affect neighboring structure?,Yes,synpic59356.jpg
Is/Are there mass effect?,Yes,synpic59356.jpg
Is there mass effect?,Yes,synpic59356.jpg
Is/Are there mass effect?,Yes,synpic59356.jpg
Is this image normal?,No,synpic27013.jpg
Is the small bowel filled with contrast?,Yes,synpic54823.jpg
Is the cecum dilated,Yes,synpic54823.jpg
What does the abnormality suggest?,Ischemia,synpic46720.jpg
What causes the hyperintensity?,Ischemia,synpic46720.jpg
Is there fat stranding?,Yes,synpic45115.jpg
Is the heart abnormal?,Yes,synpic21044.jpg
Does the heart appear enlarged?,Yes,synpic21044.jpg
Is/Are the heart enlarged? -yes/no,Yes,synpic21044.jpg
Where is the mass?,Suprasellar cistern,synpic59356.jpg
Where is/are the mass located?,Suprasellar cistern,synpic59356.jpg
Where is the mass located?,Suprasellar cistern,synpic59356.jpg
Where is/are the mass located?,Suprasellar cistern,synpic59356.jpg
Is/Are the pancreas surrounding normal?,no,synpic40314.jpg
Is/Are the pancreas surrounding normal?,no,synpic40314.jpg
Which plane is the image taken?,Axial,synpic29219.jpg
Where is this plane relative to the eyes?,Above,synpic57520.jpg
How was this x-ray taken?,PA,synpic24390.jpg
Which ribs are located near the abnormality seen in this image?,4th and 5th,synpic23803.jpg
What level is the abnormality located at?,T5,synpic23803.jpg
Is/Are there a pneumothorax present?,No,synpic39532.jpg
Do the lung markings extend to the periphery?,Yes,synpic17664.jpg
Is a pneumothorax present in this image?,No,synpic17664.jpg
Does the width of the heart exceed more than half of the thorax?,No,synpic47783.jpg
How wide is/are the cardiac shadow? -open,No,synpic47783.jpg
How wide is the cardiac shadow?,Less than half the thorax,synpic47783.jpg
How wide is/are the cardiac shadow? -open,Less than half the thorax,synpic47783.jpg
